2024/06/07 20:31:52 config ../../config/config_node.yaml: {Address:localhost Port:5002 RaftId:node_name2 RaftDir:data RaftBootstrap:false Life:100 Players:[node_name1 node_name2 node_name3 node_name4]}
2024/06/07 20:31:52 10.30.19.58
2024-06-07T20:31:52.136-0700 [INFO]  raft: initial configuration: index=0 servers=[]
2024-06-07T20:37:59.518-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:01.576-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:03.600-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:05.646-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:07.676-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:09.724-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:11.752-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:13.800-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:15.825-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:17.880-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:19.905-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:21.963-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:23.987-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:26.047-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:28.074-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:30.125-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:32.153-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:34.205-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:36.234-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:38.289-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:40.317-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:42.370-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:44.406-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:46.469-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:48.492-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:50.542-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:52.577-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:54.624-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:56.657-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:38:58.710-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:00.740-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:02.788-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:04.816-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:06.863-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:08.893-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:10.940-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:12.983-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:15.027-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:17.056-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:19.110-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:21.141-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:23.202-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:25.218-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:27.263-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:29.297-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:31.358-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:33.384-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:35.426-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:37.457-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:39.509-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:41.530-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:43.583-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:45.611-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:47.662-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:49.693-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:51.745-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:53.772-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:55.823-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:57.850-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:39:59.901-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:01.941-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:03.992-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:06.017-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:08.063-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:10.092-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:12.160-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:14.167-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:16.220-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:18.251-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:20.296-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:22.324-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:24.378-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:26.390-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:28.453-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:30.472-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:32.544-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:34.553-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:36.609-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:38.630-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:40.689-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:42.717-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:44.767-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:46.790-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:48.845-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:50.879-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:52.928-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:54.951-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:57.002-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:40:59.026-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:01.073-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:03.101-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:05.161-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:07.162-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:09.212-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:11.240-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:13.301-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:15.320-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:17.368-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:19.401-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:21.437-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:23.460-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:25.502-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:27.542-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:29.606-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:31.633-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:33.682-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:35.711-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:37.763-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:39.787-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:41.838-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:43.870-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:45.922-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:47.946-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:49.992-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:52.024-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:54.073-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:56.103-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:41:58.165-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:42:00.175-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
